内容,作者,发布时间,转发数,评论数,点赞数,页码
"中国传媒大学备考信息

过两天就开始针对整理24届初试的备考资料和录一些针对课程。

ps:整理这个文件就花了整整2天，换算的数据参考仅为黑龙江省#中国传媒大学#中国传媒大学超话 ​",一只大学流浪狗,2023年09月15日 15:09 ,1,7,0,30
一些出镜小任务～#中国传媒大学# 2北京·中国传媒大学 ​,Mai的小世界,2023年09月12日 19:15 ,4,12,0,30
昨天#中国传媒大学##开学快乐# 2北京·中国传媒大学 ​,姜子牙疼疼,2023年09月11日 16:42 ,5,37,0,31
"【央视原主持人王志履新中央民族大学副校长】

近日，中央民族大学官网“学校领导”一栏更新信息显示，曾任央视主持人的王志现已出任中央民族大学党委常委、副校长。

此前，王志担任中国传媒大学校长助理等职。

公开资料显示，王志，湖南衡阳人，1965年5月生，1986年毕业于湖南师范大学中文系，1989 ​ 展开c",中访网微博,2023年09月11日 15:06 ,4,20,0,31
"中传播音｜2023服贸会首钢园讲解员

🟠是五天的工作照合集！

🟠因为讲解的是金融专题展区，难度系数还是🈶️的，还好顺利完成任务～

🟠第一次来服贸会，拿着话筒带着音响在人群里穿行的时候需要一个脑子当八个用，一边要想着说的内容一边要对接下一个展台，还要处理各种各样的突发小状况 ​ 展开c",彤七七呀_,2023年09月07日 23:21 ,1,20,0,31
这里是终点，也是起点#中国传媒大学##大一新生# 2北京·中国传媒大学 ​,窦玉晴_微博,2023年09月06日 12:43 ,3,51,0,32
日夜努力的结果悄然而至，我终于来到了梦想中的学府（虽然被全英报道打了个措手不及 要好好学英语了）#中国传媒大学##开学季#中国传媒大学超话 2北京·中国传媒大学 ​,夜魔知晏,2023年09月06日 11:23 ,14,62,0,32
"#中国传媒大学# 学生会学习实践部招新啦❗❗🎈🎈

命运的齿轮缓缓转动…⚙️
我们在「映客会」与超一线大片见面🎞️
在「公开课」与名人大咖对话🎤
在「出走」栏目采撷思想精华📃
在「读书节」与好书邂逅📚
……

加入学小实大家庭🪄
与最专业的团队、最靠谱的同事并行
这一次，你可以自 ​ 展开c",广院学实交流会,2023年09月02日 20:04,3,5,0,32
【#表演艺考备考#秘籍】四大名校#北京电影学院##中央戏剧学院##上海戏剧学院##中国传媒大学#艺考实战经验！艺考培训老师不会给你讲的一些东东~ （表演系大师兄​​​） ​,表演艺考表叔,2023年08月28日 09:48 ,0,31,0,32
"🐱🐱🐱
重磅！万茜、韩庚领衔主演话剧《你好，疯子》来啦～
话剧《你好，疯子!》首演于2013年，是饶晓志导演继《你好，打劫!》之后的又一部黑色幽默题材悬疑话剧。但是，此“悬疑”非彼“悬疑”，这个“悬疑”在意的是你我，勾起的是良知。根据话剧《你好，疯子!》改编的同名电影于2016年在中国 ​ 展开c",猫咪文艺范儿,2023年08月26日 18:05 ,2,112,0,32
